from_record_id,from_data_source,to_record_id,to_data_source,relationship_role,rel_type,from_date,thru_date
7584591804488095167,OOR,10094521532396971848,OOR,shareholding 75% 100%,INFLUENCE,2020-03-18,2020-04-29
7584591804488095167,OOR,10094521532396971848,OOR,voting_rights 75% 100%,INFLUENCE,2020-03-18,2020-04-29
7584591804488095167,OOR,10094521532396971848,OOR,appointment_of_board,INFLUENCE,2020-03-18,2020-04-29
598161773989218568,OOR,10165632722354515453,OOR,shareholding 75% 100%,INFLUENCE,2019-08-20,
598161773989218568,OOR,10165632722354515453,OOR,voting_rights 75% 100%,INFLUENCE,2019-08-20,
598161773989218568,OOR,10165632722354515453,OOR,appointment_of_board,INFLUENCE,2019-08-20,
3763382290790851491,OOR,10503886662016933171,OOR,shareholding 75% 100%,INFLUENCE,2019-10-06,
3763382290790851491,OOR,10503886662016933171,OOR,voting_rights 75% 100%,INFLUENCE,2019-10-06,
3763382290790851491,OOR,10503886662016933171,OOR,appointment_of_board,INFLUENCE,2019-10-06,
2751240501969147355,OOR,10503886662016933171,OOR,shareholding 75% 100%,INFLUENCE,2017-08-08,2019-10-06
2751240501969147355,OOR,10503886662016933171,OOR,voting_rights 75% 100%,INFLUENCE,2017-08-08,2019-10-06
2751240501969147355,OOR,10503886662016933171,OOR,appointment_of_board,INFLUENCE,2017-08-08,2019-10-06
17442604499991911772,OOR,10540071752248991376,OOR,shareholding 75% 100%,INFLUENCE,2020-02-14,
9354929650456291787,OOR,10540071752248991376,OOR,shareholding 75% 100%,INFLUENCE,2020-02-14,2020-02-14
2087520660127443298,OOR,10540071752248991376,OOR,shareholding 25% 50%,INFLUENCE,2016-04-06,2020-02-14
2087520660127443298,OOR,10540071752248991376,OOR,voting_rights 25% 50%,INFLUENCE,2016-04-06,2020-02-14
445457919570539265,OOR,10540071752248991376,OOR,shareholding 25% 50%,INFLUENCE,2016-04-06,2020-02-14
445457919570539265,OOR,10540071752248991376,OOR,voting_rights 25% 50%,INFLUENCE,2016-04-06,2020-02-14
12021448655414204594,OOR,10572239874396124657,OOR,other_influence_or_control,INFLUENCE,2019-05-23,
11080898759010500830,OOR,108399079701328104,OOR,other_influence_or_control,INFLUENCE,2020-04-14,2021-02-08
287957459314169360,OOR,108399079701328104,OOR,other_influence_or_control,INFLUENCE,2020-04-14,
14539919002816935048,OOR,108399079701328104,OOR,other_influence_or_control,INFLUENCE,2021-03-22,
11318760569640528037,OOR,108399079701328104,OOR,other_influence_or_control,INFLUENCE,2022-06-01,2022-12-08
14860190858873069604,OOR,108399079701328104,OOR,other_influence_or_control,INFLUENCE,2016-04-08,2020-04-28
11447518046995452174,OOR,108399079701328104,OOR,other_influence_or_control,INFLUENCE,2016-04-08,2020-04-28
17181306514177266791,OOR,108399079701328104,OOR,other_influence_or_control,INFLUENCE,2016-04-08,2019-04-01
3460841525290798642,OOR,108399079701328104,OOR,other_influence_or_control,INFLUENCE,2023-09-01,
697245923305352330,OOR,10863194182370132172,OOR,shareholding 75% 100%,INFLUENCE,2020-06-24,
18285099622095687419,OOR,10863194182370132172,OOR,shareholding 25% 50%,INFLUENCE,2016-04-06,2020-06-24
15254868193339173506,OOR,10863194182370132172,OOR,shareholding 25% 50%,INFLUENCE,2016-04-06,2020-06-24
592387812503017119,OOR,10863194182370132172,OOR,shareholding 25% 50%,INFLUENCE,2016-04-06,2020-06-24
9804962726081206950,OOR,10918961621026059809,OOR,voting_rights 75% 100%,INFLUENCE,2020-03-17,
9804962726081206950,OOR,10918961621026059809,OOR,rights_to_surplus_assets_on_dissolution,INFLUENCE,2020-03-17,
9804962726081206950,OOR,10918961621026059809,OOR,appointment_of_board,INFLUENCE,2020-03-17,
8336662960845411280,OOR,10982706004624874287,OOR,shareholding 10%,INFLUENCE,2018-10-30,
8336662960845411280,OOR,10982706004624874287,OOR,voting_rights 100%,INFLUENCE,2018-10-30,
953272446376371596,OOR,10982706004624874287,OOR,shareholding 30%,INFLUENCE,2019-09-26,
5070572028120081385,OOR,10982706004624874287,OOR,shareholding 30%,INFLUENCE,2019-09-26,
5508160201904175094,OOR,10982706004624874287,OOR,shareholding 30%,INFLUENCE,2019-09-26,
16845748640432210076,OOR,11052943086044963146,OOR,voting_rights 25% 50%,INFLUENCE,2018-08-09,2018-08-09
1493520756170812697,OOR,11052943086044963146,OOR,voting_rights 25% 50%,INFLUENCE,2018-08-09,2018-08-09
14170996204032741908,OOR,11052943086044963146,OOR,shareholding 75% 100%,INFLUENCE,2018-08-09,2019-08-08
14170996204032741908,OOR,11052943086044963146,OOR,voting_rights 75% 100%,INFLUENCE,2018-08-09,2019-08-08
14170996204032741908,OOR,11052943086044963146,OOR,appointment_of_board,INFLUENCE,2018-08-09,2019-08-08
8000462878426801249,OOR,11114103575454364723,OOR,shareholding 25%,INFLUENCE,2023-10-18,
