record_id,data_source,primary_name,aliases,registration_date,registration_countries,dissolution_date,address,address_country,national_id_number,national_id_type,risk_topics,url,statement_date
10094521532396971848,OPEN-OWNERSHIP,GOLD WYNN UK HOLDINGS LIMITED,,2020-03-18,GB,,"C/O Fladgate Llp, 16 Great Queen Street, London, WC2B 5DG",GB,12524623,GB-COH,,https://opencorporates.com/companies/gb/12524623,2023-06-18
10165632722354515453,OPEN-OWNERSHIP,UPSIDE TECHNOLOGY LIMITED,,2019-08-20,GB,2022-10-11,"Apt 52, 3 Whitehall Court, London, SW1A 2EL",GB,12165794,GB-COH,,https://opencorporates.com/companies/gb/12165794,2023-06-18
10165632722354515453,OPEN-OWNERSHIP,UPSIDE TECHNOLOGY LIMITED,,2019-08-20,GB,2022-10-11,"Apt 52, 3 Whitehall Court, London, SW1A 2EL",GB,12165794,GB-COH,,https://opencorporates.com/companies/gb/12165794,2023-06-18
10503886662016933171,OPEN-OWNERSHIP,FUTURE ARC SERVICES LIMITED,,2017-08-08,GB,,"Apt 52, 3 Whitehall Court, London, SW1A 2EL",GB,10903845,GB-COH,,https://opencorporates.com/companies/gb/10903845,2023-06-18
10503886662016933171,OPEN-OWNERSHIP,FUTURE ARC SERVICES LIMITED,,2017-08-08,GB,,"Apt 52, 3 Whitehall Court, London, SW1A 2EL",GB,10903845,GB-COH,,https://opencorporates.com/companies/gb/10903845,2023-06-18
10534369556549149800,OPEN-OWNERSHIP,United Properties London Ltd,,2016-02-24,GB,,"22, Capitol Way, London, NW9 0EQ",GB,,,,https://opencorporates.com/companies/gb/10024076,2023-06-18
10540071752248991376,OPEN-OWNERSHIP,M & F HAULAGE LIMITED,,2014-04-09,GB,,"Unit 6 Plaxton Bridge Road, Woodmansey, Beverley, North Humberside, HU17 0RT",GB,08987210,GB-COH,,https://opencorporates.com/companies/gb/08987210,2023-06-18
10572239874396124657,OPEN-OWNERSHIP,ZYMURGY LLP,,2019-05-23,GB,,"The Port Royal Weirfield Path, Larkbeare Road, Exeter, Devon, EX2 4DR",GB,OC427450,GB-COH,,https://opencorporates.com/companies/gb/OC427450,2023-06-18
10757535217600786949,OPEN-OWNERSHIP,Rti Extrusions Europe (Holdings) Limited,,2013-07-11,GB,,"26a, Atlas Way, Sheffield, S4 7QQ",GB,08606498,GB-COH,,https://opencorporates.com/companies/gb/08606498,2023-06-18
10808411418087511107,OPEN-OWNERSHIP,Tmf Trustee Limited,,1999-07-21,GB,,"8th Floor, 20 Farringdon Street, London, EC4A 4AB",GB,03814168,GB-COH,,https://opencorporates.com/companies/gb/03814168,2023-06-18
108399079701328104,OPEN-OWNERSHIP,POSTCODE INNOVATION TRUST,,2016-04-08,GB,,"28 Charlotte Square, Edinburgh, EH2 4ET",GB,SC532119,GB-COH,,https://opencorporates.com/companies/gb/SC532119,2023-06-18
108399079701328104,OPEN-OWNERSHIP,POSTCODE INNOVATION TRUST,,2016-04-08,GB,,"28 Charlotte Square, Edinburgh, EH2 4ET",GB,SC532119,GB-COH,,https://opencorporates.com/companies/gb/SC532119,2023-06-18
10863194182370132172,OPEN-OWNERSHIP,SALISBURY MANAGEMENT SERVICES LIMITED,,1998-04-28,GB,,"Enterprise House The Courtyard, Old Courthouse Road, Bromborough, Wirral, CH62 4UE",GB,03553977,GB-COH,,https://opencorporates.com/companies/gb/03553977,2023-06-18
10918961621026059809,OPEN-OWNERSHIP,WYNN WEINZWEIG UK HOLDINGS LLP,,2020-03-17,GB,,"C/O Fladgate Llp, 16 Great Queen Street, London, WC2B 5DG",GB,OC431195,GB-COH,,https://opencorporates.com/companies/gb/OC431195,2023-06-18
10918961621026059809,OPEN-OWNERSHIP,WYNN WEINZWEIG UK HOLDINGS LLP,,2020-03-17,GB,,"C/O Fladgate Llp, 16 Great Queen Street, London, WC2B 5DG",GB,OC431195,GB-COH,,https://opencorporates.com/companies/gb/OC431195,2023-06-18
10982706004624874287,OPEN-OWNERSHIP,"A/S Kurt Hansen, Svendborg",,2018-10-30,DK,,"Gotlandsvej 5, Svendborg, 5700",DK,39981963,DK-CVR,,https://opencorporates.com/companies/dk/39981963,2023-06-21
11052943086044963146,OPEN-OWNERSHIP,GREENLIGHT SAFETY ASSESSMENT SCHEME LIMITED,,2018-08-09,GB,,"Bergstrand House Parkwood Close, Roborough, Plymouth, Devon, PL6 7SG",GB,11509219,GB-COH,,https://opencorporates.com/companies/gb/11509219,2023-06-18
11114103575454364723,OPEN-OWNERSHIP,Le Krib ApS,,2022-05-25,DK,,"Grønningen 3, kl, Aarhus C, 8000",DK,43288377,DK-CVR,,https://opencorporates.com/companies/dk/43288377,2024-03-02
11116055736536205571,OPEN-OWNERSHIP,Shiporama ApS,,2008-06-03,DK,,"Robert Jacobsens Vej 37, 3, København S, 2300",DK,31478936,DK-CVR,,https://opencorporates.com/companies/dk/31478936,2023-06-20
11189598595664412122,OPEN-OWNERSHIP,Tmf Global Services (Uk) Limited,,1998-05-06,GB,,"5th Floor, 6 St. Andrew Street, London, EC4A 3AE",GB,,,,https://opencorporates.com/companies/gb/03561975,2023-06-18
11211948488926000995,OPEN-OWNERSHIP,Sofie Hougaard Invest ApS,,2017-10-23,DK,,"Ceres Allé 7, 10, Aarhus C, 8000",DK,39081539,DK-CVR,,https://opencorporates.com/companies/dk/39081539,2023-06-21
11219252361191376309,OPEN-OWNERSHIP,PERMITTED DEVELOPMENTS INVESTMENTS NO 13 LIMITED,,2019-04-10,GB,,"Suite 228 42 Watford Way, London, NW4 3AL",GB,11937440,GB-COH,,https://opencorporates.com/companies/gb/11937440,2023-06-18
11243344537198272424,OPEN-OWNERSHIP,POSTCODE NEIGHBOURHOOD TRUST,,2019-03-04,GB,,"28 Charlotte Square, Edinburgh, EH2 4ET",GB,SC623059,GB-COH,,https://opencorporates.com/companies/gb/SC623059,2023-06-18
11243344537198272424,OPEN-OWNERSHIP,POSTCODE NEIGHBOURHOOD TRUST,,2019-03-04,GB,,"28 Charlotte Square, Edinburgh, EH2 4ET",GB,SC623059,GB-COH,,https://opencorporates.com/companies/gb/SC623059,2023-06-18
11288053414445869117,OPEN-OWNERSHIP,GREEN'S LODGE ESTATES LIMITED,,1978-09-19,GB,,"Edward House Grange Business Park, Whetstone, Leicester, Leicestershire, LE8 6EP",GB,01389836,GB-COH,,https://opencorporates.com/companies/gb/01389836,2023-06-18
11288053414445869117,OPEN-OWNERSHIP,GREEN'S LODGE ESTATES LIMITED,,1978-09-19,GB,,"Edward House Grange Business Park, Whetstone, Leicester, Leicestershire, LE8 6EP",GB,01389836,GB-COH,,https://opencorporates.com/companies/gb/01389836,2023-06-18
11300978730214787910,OPEN-OWNERSHIP,Aercap Holdings N.V.,,,IE,,"65, St Stephens Green, Dublin 2",IE,,,,,2023-06-18
11336917879846660869,OPEN-OWNERSHIP,KANDSII LTD,,2020-06-29,GB,2022-01-04,"21 High View Close, Hamilton Office Park, Hamilton, Leicester, LE4 9LJ",GB,12701093,GB-COH,,https://opencorporates.com/companies/gb/12701093,2023-06-18
11358114435972069552,OPEN-OWNERSHIP,GNI (UK) LIMITED,,1993-06-17,GB,,"C/O Tmf Group 8th Floor, 20 Farringdon Street, London, EC4A 4AB",GB,02827969,GB-COH,,https://opencorporates.com/companies/gb/02827969,2023-06-18
11470750397731955876,OPEN-OWNERSHIP,POSTCODE JUSTICE TRUST,,2013-02-01,GB,,"28 Charlotte Square, Edinburgh, EH2 4ET",GB,SC441725,GB-COH,,https://opencorporates.com/companies/gb/SC441725,2023-06-18
11470750397731955876,OPEN-OWNERSHIP,POSTCODE JUSTICE TRUST,,2013-02-01,GB,,"28 Charlotte Square, Edinburgh, EH2 4ET",GB,SC441725,GB-COH,,https://opencorporates.com/companies/gb/SC441725,2023-06-18
11511176422153305146,OPEN-OWNERSHIP,Bradley Holdings Limited,,,IM,,"Atholl House, 29-31 Hope Street, Douglas, IM1 1AR",IM,,,,,2023-06-18
11554187554802244944,OPEN-OWNERSHIP,POSTCODE PLACES TRUST,,2019-03-05,GB,,"28 Charlotte Square, Edinburgh, EH2 4ET",GB,SC623202,GB-COH,,https://opencorporates.com/companies/gb/SC623202,2023-06-18
11554187554802244944,OPEN-OWNERSHIP,POSTCODE PLACES TRUST,,2019-03-05,GB,,"28 Charlotte Square, Edinburgh, EH2 4ET",GB,SC623202,GB-COH,,https://opencorporates.com/companies/gb/SC623202,2023-06-18
12299734555208012798,OPEN-OWNERSHIP,Forvalt ApS,,,DK,,,,44185547,DK-CVR,,,2023-07-22
12607700260352964257,OPEN-OWNERSHIP,POSTCODE INTERNATIONAL TRUST,,2014-04-29,GB,,"28 Charlotte Square, Edinburgh, EH2 4ET",GB,SC476398,GB-COH,,https://opencorporates.com/companies/gb/SC476398,2023-06-18
